County,State,Population,ALAND_SQMI,PopulationDensity,Temp
Larue County,Kentucky,"14,398",261.553,55,57.1333
Johnson County,Kentucky,"22,188",261.965,85,57.2583
Taylor County,Kentucky,"25,769",266.369,97,57.9167
Pendleton County,Kentucky,"14,590",277.158,53,56.05
Bath County,Kentucky,"12,500",278.797,45,55.95
Rowan County,Kentucky,"24,460",279.84,87,55.1583
Scott County,Kentucky,"57,004",281.767,202,56.6167
Fayette County,Kentucky,"323,152",283.637,1139,56.7167
Green County,Kentucky,"10,941",286.049,38,58.3583
Henry County,Kentucky,"16,126",286.295,56,56.85
Metcalfe County,Kentucky,"10,071",289.641,35,58.15
Bourbon County,Kentucky,"19,788",289.746,68,56.225
Washington County,Kentucky,"12,095",296.972,41,56.9083
Bullitt County,Kentucky,"81,676",297.031,275,57.4833
Marshall County,Kentucky,"31,100",302.205,103,58.8833
Edmonson County,Kentucky,"12,150",302.885,40,58.5167
Cumberland County,Kentucky,"6,614",305.196,22,59.6167
Meade County,Kentucky,"28,572",305.443,94,56.4917
Harrison County,Kentucky,"18,886",306.412,62,56.0917
Magoffin County,Kentucky,"12,161",308.444,39,57.05
Livingston County,Kentucky,"9,194",313.128,29,58.15
Rockcastle County,Kentucky,"16,695",316.547,53,57.2583
Monroe County,Kentucky,"10,650",329.43,32,58.4583
Webster County,Kentucky,"12,942",332.099,39,57.9167
Lincoln County,Kentucky,"24,549",332.843,74,57
Letcher County,Kentucky,"21,553",337.93,64,56.25
Perry County,Kentucky,"25,758",339.7,76,57.1833
Union County,Kentucky,"14,381",342.856,42,57.175
Marion County,Kentucky,"19,273",343.038,56,57.2
Allen County,Kentucky,"21,315",344.341,62,58.8083
Greenup County,Kentucky,"35,098",344.462,102,56.05
Caldwell County,Kentucky,"12,747",344.79,37,58.3667
Jackson County,Kentucky,"13,329",345.195,39,56.9
Fleming County,Kentucky,"14,581",348.545,42,55.3583
Owen County,Kentucky,"10,901",351.108,31,56.7583
Knott County,Kentucky,"14,806",351.518,42,57.075
Bell County,Kentucky,"26,032",359.062,73,56.1917
Crittenden County,Kentucky,"8,806",359.963,24,57.7667
Todd County,Kentucky,"12,294",374.503,33,59.2333
Shelby County,Kentucky,"49,024",379.774,129,56.8167
Jefferson County,Kentucky,"766,757",380.709,2014,57.7417
Morgan County,Kentucky,"13,309",381.127,35,56.275
Calloway County,Kentucky,"39,001",385.03,101,58.8583
Knox County,Kentucky,"31,145",386.304,81,57.55
Floyd County,Kentucky,"35,589",393.282,90,57.875
Leslie County,Kentucky,"9,877",400.854,25,56.9083
Adair County,Kentucky,"19,202",405.288,47,58.8917
Carter County,Kentucky,"26,797",409.495,65,55.8083
Hart County,Kentucky,"19,035",412.562,46,58.0333
Lawrence County,Kentucky,"15,317",415.596,37,57.0417
Nelson County,Kentucky,"46,233",417.518,111,57.2083
Butler County,Kentucky,"12,879",426.092,30,58.35
McCreary County,Kentucky,"17,231",426.804,40,58.0667
Laurel County,Kentucky,"60,813",433.988,140,57.6667
Henderson County,Kentucky,"45,210",436.492,104,57.2083
Madison County,Kentucky,"92,987",437.353,213,57.2667
Whitley County,Kentucky,"36,264",437.831,83,57.75
Trigg County,Kentucky,"14,651",441.561,33,59.1
Casey County,Kentucky,"16,159",444.239,36,57.5917
Wayne County,Kentucky,"20,333",458.184,44,58.9917
Daviess County,Kentucky,"101,511",458.391,221,57.1917
Harlan County,Kentucky,"26,010",465.831,56,55.1
Muhlenberg County,Kentucky,"30,622",467.358,66,58.3917
Clay County,Kentucky,"19,901",469.297,42,57.575
Lewis County,Kentucky,"13,275",482.84,27,55.2167
Barren County,Kentucky,"44,249",487.584,91,58.3917
Breathitt County,Kentucky,"12,630",492.416,26,57.4917
Grayson County,Kentucky,"26,427",499.928,53,57.5583
Warren County,Kentucky,"132,896",541.72,245,59.1
Hopkins County,Kentucky,"44,686",542.066,82,58.75
Graves County,Kentucky,"37,266",551.756,68,58.8
Logan County,Kentucky,"27,102",552.213,49,58.725
Breckinridge County,Kentucky,"20,477",569.806,36,56.675
Ohio County,Kentucky,"23,994",587.285,41,57.725
Hardin County,Kentucky,"110,958",623.397,178,57.025
Pulaski County,Kentucky,"64,979",658.41,99,58.4417
Christian County,Kentucky,"70,461",717.51,98,59.4583
Pike County,Kentucky,"57,876",786.73,74,57.7833
St. Martin Parish,Louisiana,"53,431",737.222,72,69.3583
St. Mary Parish,Louisiana,"49,348",555.584,89,70.25
St. James Parish,Louisiana,"21,096",242.841,87,69.8917
St. Bernard Parish,Louisiana,"47,244",377.512,125,69.975
St. Tammany Parish,Louisiana,"260,419",845.198,308,68.9
St. Helena Parish,Louisiana,"10,132",408.408,25,68.1083
St. John the Baptist Parish,Louisiana,"42,837",214.32,200,69.925
St. Landry Parish,Louisiana,"82,124",923.913,89,68.3167
St. Charles Parish,Louisiana,"53,100",277.751,191,70.4417
Orleans Parish,Louisiana,"390,144",169.434,2303,69.9917
West Baton Rouge Parish,Louisiana,"26,465",192.392,138,69.1417
Lafayette Parish,Louisiana,"244,390",268.761,909,69.0083
Ascension Parish,Louisiana,"126,604",290.063,436,69.3833
Jefferson Parish,Louisiana,"432,493",295.696,1463,70.5083
Assumption Parish,Louisiana,"21,891",338.623,65,70.05
West Carroll Parish,Louisiana,"10,830",359.646,30,65.5667
Red River Parish,Louisiana,"8,442",389.092,22,66.5083
West Feliciana Parish,Louisiana,"15,568",403.318,39,68.3667
East Carroll Parish,Louisiana,"6,861",420.708,16,65.7333
East Feliciana Parish,Louisiana,"19,135",453.403,42,68.2417
East Baton Rouge Parish,Louisiana,"440,059",455.392,966,68.925
Lincoln Parish,Louisiana,"46,742",471.742,99,65.4667
Caldwell Parish,Louisiana,"9,918",529.49,19,65.7333
Richland Parish,Louisiana,"20,122",555.728,36,65.3833
Pointe Coupee Parish,Louisiana,"21,730",557.219,39,68.7
Jackson Parish,Louisiana,"15,744",569.185,28,65.7417
Iberia Parish,Louisiana,"69,830",574.093,122,69.475
Webster Parish,Louisiana,"38,340",593.183,65,65.5667
Tensas Parish,Louisiana,"4,334",602.784,7,65.3667
Ouachita Parish,Louisiana,"153,279",610.402,251,65.3833
Iberville Parish,Louisiana,"32,511",618.63,53,69.2417
Madison Parish,Louisiana,"10,951",624.405,18,65.5417
Franklin Parish,Louisiana,"20,015",624.593,32,65.425
LaSalle Parish,Louisiana,"14,892",624.685,24,0
Grant Parish,Louisiana,"22,389",643.026,35,66.2333
Livingston Parish,Louisiana,"140,789",648.174,217,68.9167
Jefferson Davis Parish,Louisiana,"31,368",651.364,48,68.6333
Acadia Parish,Louisiana,"62,045",655.169,95,68.6
Evangeline Parish,Louisiana,"33,395",662.381,50,67.7
Washington Parish,Louisiana,"46,194",669.596,69,67.8
Concordia Parish,Louisiana,"19,259",696.981,28,66.5917
Catahoula Parish,Louisiana,"9,494",708.028,13,66.225
Claiborne Parish,Louisiana,"15,670",754.878,21,64.6333
Allen Parish,Louisiana,"25,627",761.812,34,67.5417
Plaquemines Parish,Louisiana,"23,197",780.294,30,70.6167
Tangipahoa Parish,Louisiana,"134,758",791.31,170,68.5333
Morehouse Parish,Louisiana,"24,874",794.93,31,65.4417
Bienville Parish,Louisiana,"13,241",811.281,16,65.925
Avoyelles Parish,Louisiana,"40,144",832.035,48,67.3333
Bossier Parish,Louisiana,"127,039",840.315,151,66.0583
Sabine Parish,Louisiana,"23,884",866.659,28,66.1
De Soto Parish,Louisiana,"27,463",876.426,31,65.9333
Union Parish,Louisiana,"22,108",876.939,25,65.2583
Caddo Parish,Louisiana,"240,204",879.067,273,66.05
Winn Parish,Louisiana,"13,904",950.086,15,66.0417
Calcasieu Parish,Louisiana,"203,436",1064.153,191,68.7833
Lafourche Parish,Louisiana,"97,614",1068.36,91,70.9083
Beauregard Parish,Louisiana,"37,497",1157.363,32,67.5667
Vermilion Parish,Louisiana,"59,511",1173.212,51,69.4083
Terrebonne Parish,Louisiana,"110,461",1229.828,90,71.2583
Natchitoches Parish,Louisiana,"38,158",1252.275,30,66.3833
Cameron Parish,Louisiana,"6,973",1284.869,5,69.6667
Rapides Parish,Louisiana,"129,648",1320.344,98,67.0167
Vernon Parish,Louisiana,"47,429",1327.918,36,66.75
Sagadahoc County,Maine,"35,856",253.971,141,44.9167
Knox County,Maine,"39,772",365.136,109,44.0917
Lincoln County,Maine,"34,634",455.867,76,44.6333
Androscoggin County,Maine,"108,277",467.952,231,44.0167
Waldo County,Maine,"39,715",729.971,54,43.4917
Cumberland County,Maine,"295,003",835.945,353,44.8333
Kennebec County,Maine,"122,302",867.469,141,43.9167
York County,Maine,"207,641",991.076,210,45.3
Hancock County,Maine,"54,987",1587.126,35,43.7583
Franklin County,Maine,"30,199",1697.004,18,38.7583
Oxford County,Maine,"57,975",2076.953,28,41.175
Washington County,Maine,"31,379",2562.727,12,43.2083
Penobscot County,Maine,"152,148",3397.197,45,41.7917
Somerset County,Maine,"50,484",3924.283,13,38.8667
Piscataquis County,Maine,"16,785",3961.029,4,38.8167
Aroostook County,Maine,"67,055",6671.093,10,37.9667
Baltimore city,Maryland,"593,490",80.947,7332,57.4833
Calvert County,Maryland,"92,525",213.191,434,58.525
Howard County,Maryland,"325,690",250.948,1298,55.6583
Talbot County,Maryland,"37,181",268.558,138,58.1917
Kent County,Maryland,"19,422",277.035,70,56.8
Caroline County,Maryland,"33,406",319.442,105,57.6667
Somerset County,Maryland,"25,616",319.749,80,59.6667
Cecil County,Maryland,"102,855",346.299,297,55.8833
Queen Anne's County,Maryland,"50,381",371.69,136,57.1917
Wicomico County,Maryland,"103,609",374.421,277,59.0333
Anne Arundel County,Maryland,"579,234",414.81,1396,58.0833
Allegany County,Maryland,"70,416",422.188,167,53.0917
Harford County,Maryland,"255,441",437.125,584,55.725
Carroll County,Maryland,"168,447",447.629,376,54.1917
Washington County,Maryland,"151,049",457.767,330,54.4
Charles County,Maryland,"163,257",457.797,357,58.9917
Worcester County,Maryland,"52,276",468.402,112,59.3833
Prince George's County,Maryland,"909,327",482.652,1884,57.875
Montgomery County,Maryland,"1,050,688",493.063,2131,56.3333
Dorchester County,Maryland,"31,929",540.765,59,58.8417
Baltimore County,Maryland,"827,370",598.36,1383,55.575
Garrett County,Maryland,"29,014",649.077,45,49.725
Frederick County,Maryland,"259,547",660.526,393,54.7417
St. Mary's County,Maryland,"113,510",358.697,316,58.9667
Nantucket County,Massachusetts,"11,399",46.165,247,50.7417
Suffolk County,Massachusetts,"803,907",58.249,13801,50.8333
Dukes County,Massachusetts,"17,332",103.205,168,51.1667
Barnstable County,Massachusetts,"212,990",394.218,540,50.8417
Norfolk County,Massachusetts,"706,775",396.107,1784,50.4667
Essex County,Massachusetts,"789,034",492.515,1602,48.7417
Hampshire County,Massachusetts,"160,830",527.236,305,47.4417
Bristol County,Massachusetts,"565,217",553.109,1022,50.75
Hampden County,Massachusetts,"466,372",617,756,48.1667
Plymouth County,Massachusetts,"521,202",658.581,791,50.7333
Franklin County,Massachusetts,"70,180",699.199,100,47.05
Middlesex County,Massachusetts,"1,611,699",817.852,1971,49.5
Berkshire County,Massachusetts,"124,944",926.877,135,45.2583
Worcester County,Massachusetts,"830,622",1510.646,550,47.9083
Benzie County,Michigan,"17,766",319.698,56,43.7333
Leelanau County,Michigan,"21,761",347.199,63,43.75
Arenac County,Michigan,"14,883",363.178,41,45.0167
Charlevoix County,Michigan,"26,143",416.33,63,42.525
Bay County,Michigan,"103,126",442.241,233,46.55
Grand Traverse County,Michigan,"93,088",464.336,200,43.675
Emmet County,Michigan,"33,415",467.521,71,41.85
Antrim County,Michigan,"23,324",475.679,49,42.7417
Macomb County,Michigan,"873,972",479.172,1824,49.1167
Cass County,Michigan,"51,787",490.105,106,48.4917
Mason County,Michigan,"29,144",494.971,59,44.4333
Gladwin County,Michigan,"25,449",501.786,51,44.7417
Muskegon County,Michigan,"173,566",503.914,344,46.7917
Branch County,Michigan,"43,517",506.414,86,48.1667
Otsego County,Michigan,"24,668",515.006,48,40.9083
Midland County,Michigan,"83,156",516.279,161,46.4667
Roscommon County,Michigan,"24,019",519.897,46,42.9583
Shiawassee County,Michigan,"68,122",530.959,128,47.35
Oceana County,Michigan,"26,467",538.098,49,45.3167
Keweenaw County,Michigan,"2,116",540.112,4,38.925
Manistee County,Michigan,"24,558",542.325,45,43.9583
Montmorency County,Michigan,"9,328",546.675,17,41.7083
Iosco County,Michigan,"25,127",549.104,46,43.85
Monroe County,Michigan,"150,500",549.35,274,50.7
Barry County,Michigan,"61,550",553.095,111,47.625
Mecosta County,Michigan,"43,453",555.127,78,44.4583
Ingham County,Michigan,"292,406",556.063,526,47.5667
Crawford County,Michigan,"14,029",556.403,25,42.0167
Kalkaska County,Michigan,"18,038",559.744,32,42.575
Kalamazoo County,Michigan,"265,066",561.981,472,48.4167
Ogemaw County,Michigan,"20,997",563.503,37,43.1833
Ottawa County,Michigan,"291,830",563.511,518,47.7083
Clare County,Michigan,"30,950",564.366,55,43.75
Missaukee County,Michigan,"15,118",564.788,27,42.7167
Wexford County,Michigan,"33,631",564.925,60,42.9417
Livingston County,Michigan,"191,995",565.252,340,47.5417
Oscoda County,Michigan,"8,241",565.674,15,42.0917
Osceola County,Michigan,"23,460",566.286,41,43.125
Clinton County,Michigan,"79,595",566.419,141,47.4917
Lake County,Michigan,"11,853",567.591,21,43.975
Berrien County,Michigan,"153,401",567.78,270,48.925
Gratiot County,Michigan,"40,711",568.381,72,47.0083
Ionia County,Michigan,"64,697",571.32,113,47.125
Alpena County,Michigan,"28,405",571.867,50,42.5
Isabella County,Michigan,"69,872",572.699,122,45.5667
Eaton County,Michigan,"110,268",575.202,192,47.5917
Hillsdale County,Michigan,"45,605",598.152,76,48.0333
Van Buren County,Michigan,"75,677",607.827,125,48.7167
Wayne County,Michigan,"1,749,343",611.779,2859,49.75
Genesee County,Michigan,"405,813",636.935,637,47.5
Lapeer County,Michigan,"87,607",646.982,135,47.35
Presque Isle County,Michigan,"12,592",658.717,19,41.9583
Alcona County,Michigan,"10,405",674.655,15,42.4833
Jackson County,Michigan,"158,510",701.881,226,47.9583
Montcalm County,Michigan,"63,888",705.329,91,45.9833
Washtenaw County,Michigan,"367,601",705.964,521,48.5417
Calhoun County,Michigan,"134,159",706.261,190,48.0667
Cheboygan County,Michigan,"25,276",715.274,35,41.6167
Lenawee County,Michigan,"98,451",749.619,131,49.3
Dickinson County,Michigan,"25,239",760.948,33,39.2417
Saginaw County,Michigan,"190,539",800.704,238,47.35
Tuscola County,Michigan,"52,245",804.701,65,46.775
Allegan County,Michigan,"118,081",825.253,143,48.35
Huron County,Michigan,"30,981",836.021,37,45.4917
Newaygo County,Michigan,"48,980",838.887,58,45.1583
Kent County,Michigan,"656,955",848.875,774,47.0417
Oakland County,Michigan,"1,257,584",867.158,1450,47.9583
Baraga County,Michigan,"8,209",898.427,9,37.9667
Luce County,Michigan,"6,229",899.075,7,38.6083
Alger County,Michigan,"9,108",915.033,10,39.4917
Sanilac County,Michigan,"41,170",962.571,43,46.575
Houghton County,Michigan,"35,684",1009.101,35,39.2583
Mackinac County,Michigan,"10,799",1021.865,11,39.8667
Menominee County,Michigan,"22,780",1044.041,22,40.95
Gogebic County,Michigan,"13,975",1102.136,13,37.7667
Iron County,Michigan,"11,066",1165.997,9,37.5917
Delta County,Michigan,"35,784",1171.101,31,40.5667
Schoolcraft County,Michigan,"8,094",1171.876,7,40.1
Ontonagon County,Michigan,"5,720",1310.978,4,38.7917
Chippewa County,Michigan,"37,349",1558.507,24,39.1417
Marquette County,Michigan,"66,699",1809.045,37,38.35
St. Joseph County,Michigan,"60,964",500.596,122,48.525
St. Clair County,Michigan,"159,128",721.336,221,48.5083
Ramsey County,Minnesota,"550,321",152.243,3615,43.1833
Carver County,Minnesota,"105,089",354.196,297,42.7917
Scott County,Minnesota,"149,013",356.254,418,43.2417
Washington County,Minnesota,"262,440",384.411,683,42.8833
Benton County,Minnesota,"40,889",408.297,100,40.6083
Chisago County,Minnesota,"56,579",414.9,136,41.6167
Anoka County,Minnesota,"356,921",421.964,846,42.4333
Waseca County,Minnesota,"18,612",423.363,44,42.6333
Steele County,Minnesota,"36,649",429.645,85,42.5583
Red Lake County,Minnesota,"4,055",432.407,9,36.5667
Sherburne County,Minnesota,"97,238",432.909,225,41.3667
Watonwan County,Minnesota,"10,897",434.954,25,43.4167
Isanti County,Minnesota,"40,596",435.74,93,41.5
Dodge County,Minnesota,"20,934",439.278,48,42.3167
Nicollet County,Minnesota,"34,274",448.61,76,43.05
Le Sueur County,Minnesota,"28,887",448.67,64,42.75
Pipestone County,Minnesota,"9,126",465.056,20,41.6833
Rock County,Minnesota,"9,315",482.458,19,43.1667
McLeod County,Minnesota,"35,893",491.486,73,42.3083
Rice County,Minnesota,"66,972",495.838,135,42.6917
Big Stone County,Minnesota,"4,991",499.177,10,41.15
Kanabec County,Minnesota,"16,337",521.624,31,40.2417
Wabasha County,Minnesota,"21,627",522.951,41,43.35
Wadena County,Minnesota,"13,682",536.277,26,38.7667
Lincoln County,Minnesota,"5,639",536.782,11,41.1333
Grant County,Minnesota,"5,972",547.796,11,40.2
Houston County,Minnesota,"18,600",552.043,34,44.55
Hennepin County,Minnesota,"1,265,843",553.845,2286,42.925
Mahnomen County,Minnesota,"5,527",557.867,10,36.4583
Dakota County,Minnesota,"429,021",562.544,763,43.2667
Stevens County,Minnesota,"9,805",563.611,17,40.6417
Mille Lacs County,Minnesota,"26,277",572.364,46,40.2917
Traverse County,Minnesota,"3,259",573.872,6,40.8417
Chippewa County,Minnesota,"11,800",581.184,20,41.8583
Sibley County,Minnesota,"14,865",588.834,25,42.975
Meeker County,Minnesota,"23,222",608.07,38,40.9667
Brown County,Minnesota,"25,008",611.109,41,43.1167
Pennington County,Minnesota,"14,119",616.578,23,36.3333
Winona County,Minnesota,"50,484",626.118,81,43.625
Douglas County,Minnesota,"38,141",636.754,60,39.275
Cottonwood County,Minnesota,"11,196",639.973,17,42.7833
Olmsted County,Minnesota,"158,293",653.617,242,42.575
Wright County,Minnesota,"138,377",661.119,209,41.6917
Pope County,Minnesota,"11,249",669.53,17,40.2667
Jackson County,Minnesota,"9,846",702.972,14,42.825
Murray County,Minnesota,"8,194",704.665,12,41.45
Freeborn County,Minnesota,"30,281",707.245,43,42.9583
Mower County,Minnesota,"40,062",711.328,56,42.675
Martin County,Minnesota,"19,683",712.331,28,43.0917
Faribault County,Minnesota,"13,653",712.478,19,43.3917
Lyon County,Minnesota,"25,474",714.411,36,42.2
Nobles County,Minnesota,"21,629",715.093,30,42.2083
Swift County,Minnesota,"9,266",741.983,12,41.2917
Blue Earth County,Minnesota,"67,653",747.784,90,43.1917
Wilkin County,Minnesota,"6,207",751,8,39.8917
Goodhue County,Minnesota,"46,340",756.707,61,42.725
Yellow Medicine County,Minnesota,"9,709",759.101,13,42.15
Lac qui Parle County,Minnesota,"6,623",765.021,9,41.6917
Kandiyohi County,Minnesota,"43,199",797.382,54,41.0583
Fillmore County,Minnesota,"21,067",861.296,24,42.8667
Carlton County,Minnesota,"35,871",861.304,42,37.5
Norman County,Minnesota,"6,375",872.789,7,37.6
Redwood County,Minnesota,"15,170",878.573,17,42.5917
Hubbard County,Minnesota,"21,491",926.006,23,37.65
Todd County,Minnesota,"24,664",945.086,26,39.2917
Renville County,Minnesota,"14,548",982.918,15,42.2583
Crow Wing County,Minnesota,"65,055",998.364,65,39.4083
Clearwater County,Minnesota,"8,818",998.826,9,36.2667
Clay County,Minnesota,"64,222",1045.198,61,38.575
Kittson County,Minnesota,"4,298",1098.814,4,37.4083
Morrison County,Minnesota,"33,386",1125.094,30,39.95
Lake of the Woods County,Minnesota,"3,740",1297.832,3,36.45
Becker County,Minnesota,"34,423",1315.084,26,37.25
Stearns County,Minnesota,"161,075",1342.797,120,40.4083
Pine County,Minnesota,"29,579",1411.289,21,39.5417
Cook County,Minnesota,"5,463",1452.568,4,34.4667
Roseau County,Minnesota,"15,165",1671.619,9,36.7833
Marshall County,Minnesota,"9,336",1775.06,5,36.925
Aitkin County,Minnesota,"15,886",1821.797,9,38.1667
Polk County,Minnesota,"31,364",1971.073,16,37.0583
Otter Tail County,Minnesota,"58,746",1971.857,30,38.6583
Cass County,Minnesota,"29,779",2021.473,15,38.5333
Lake County,Minnesota,"10,641",2109.266,5,35.575
Beltrami County,Minnesota,"47,188",2504.704,19,36.325
Itasca County,Minnesota,"45,130",2667.322,17,36.875
Koochiching County,Minnesota,"12,229",3104.732,4,36.025
St. Louis County,Minnesota,"199,070",6247.318,32,36.3833
Alcorn County,Mississippi,"36,953",400.044,92,61.0417
Walthall County,Mississippi,"14,286",403.928,35,67.275
Tate County,Mississippi,"28,321",404.763,70,62.5417
Quitman County,Mississippi,"6,792",405.012,17,63.4833
Benton County,Mississippi,"8,259",406.616,20,61.4833
Montgomery County,Mississippi,"9,775",406.981,24,63.2917
Jefferson Davis County,Mississippi,"11,128",408.446,27,66.5667
Pike County,Mississippi,"39,288",409.018,96,67.475
Clay County,Mississippi,"19,316",410.066,47,64.6917
Issaquena County,Mississippi,"1,327",413.045,3,66.0167
Covington County,Mississippi,"18,636",413.818,45,66.65
Prentiss County,Mississippi,"25,126",414.985,61,61.975
Union County,Mississippi,"28,815",415.607,69,62.575
Choctaw County,Mississippi,"8,210",418.196,20,63.5667
Humphreys County,Mississippi,"8,064",418.514,19,66.225
Webster County,Mississippi,"9,689",421.145,23,63.55
Grenada County,Mississippi,"20,758",422.122,49,63.9833
Tishomingo County,Mississippi,"19,383",424.303,46,61.575
Lawrence County,Mississippi,"12,586",430.602,29,66.775
Sharkey County,Mississippi,"4,321",431.72,10,66.1167
Stone County,Mississippi,"18,336",445.485,41,67.05
Lee County,Mississippi,"85,436",449.965,190,63.4167
Tunica County,Mississippi,"9,632",454.678,21,63.025
Tippah County,Mississippi,"22,015",457.822,48,61.375
Oktibbeha County,Mississippi,"49,587",458.239,108,64.925
Adams County,Mississippi,"30,693",462.344,66,66.2917
Forrest County,Mississippi,"74,897",466.042,161,67.2333
Yalobusha County,Mississippi,"12,108",467.151,26,63.4083
Hancock County,Mississippi,"47,632",473.964,100,68.1917
DeSoto County,Mississippi,"184,945",476.313,388,62.4667
George County,Mississippi,"24,500",478.696,51,67.775
Claiborne County,Mississippi,"8,988",487.415,18,65.675
Lamar County,Mississippi,"63,343",496.675,128,67.0833
Pontotoc County,Mississippi,"32,174",497.764,65,63.2417
Chickasaw County,Mississippi,"17,103",501.782,34,63.9333
Lowndes County,Mississippi,"58,595",505.443,116,65.0083
Jefferson County,Mississippi,"6,990",519.933,13,65.4917
Itawamba County,Mississippi,"23,390",532.795,44,63.125
Marion County,Mississippi,"24,573",542.385,45,67.275
Coahoma County,Mississippi,"22,124",552.489,40,63.45
Franklin County,Mississippi,"7,713",563.964,14,66.2083
Neshoba County,Mississippi,"29,118",570.134,51,64.6833
Harrison County,Mississippi,"208,080",573.642,363,67.5583
Newton County,Mississippi,"21,018",577.855,36,66
Leake County,Mississippi,"22,786",582.897,39,64.3083
Lincoln County,Mississippi,"34,153",586.207,58,66.3667
Calhoun County,Mississippi,"14,361",586.573,24,63.575
Warren County,Mississippi,"45,381",588.53,77,66.1833
Simpson County,Mississippi,"26,658",589.165,45,66.15
Leflore County,Mississippi,"28,183",594.074,47,65.25
Winston County,Mississippi,"17,955",607.251,30,64.25
Scott County,Mississippi,"28,124",609.231,46,65.0667
Carroll County,Mississippi,"9,947",628.29,16,64.4
Lafayette County,Mississippi,"54,019",631.694,86,62.7667
Smith County,Mississippi,"15,916",636.268,25,66.075
Tallahatchie County,Mississippi,"13,809",645.223,21,64.1167
Perry County,Mississippi,"11,973",647.207,18,67.225
Jasper County,Mississippi,"16,383",676.24,24,66.4833
Wilkinson County,Mississippi,"8,630",678.106,13,67.2333
Panola County,Mississippi,"34,192",685.175,50,62.9917
Clarke County,Mississippi,"15,541",691.577,22,66.7167
Jones County,Mississippi,"68,098",694.812,98,66.9083
Noxubee County,Mississippi,"10,417",695.158,15,65.1917
Sunflower County,Mississippi,"25,110",697.759,36,64.7083
Lauderdale County,Mississippi,"74,125",703.674,105,66.5167
Marshall County,Mississippi,"35,294",706.185,50,61.975
Greene County,Mississippi,"13,586",712.738,19,67.2583
Madison County,Mississippi,"106,272",714.522,149,65.5
Jackson County,Mississippi,"143,617",722.797,199,68.4333
Washington County,Mississippi,"43,909",725.642,61,65.1
Amite County,Mississippi,"12,297",730.1,17,67.2583
Attala County,Mississippi,"18,174",734.957,25,63.8667
Holmes County,Mississippi,"17,010",756.674,22,65.375
Monroe County,Mississippi,"35,252",765.089,46,64.1167
Kemper County,Mississippi,"9,742",766.182,13,65.3667
Rankin County,Mississippi,"155,271",775.495,200,65.7583
Copiah County,Mississippi,"28,065",777.285,36,66.2917
Wayne County,Mississippi,"20,183",810.716,25,66.5167
Pearl River County,Mississippi,"55,535",811.304,68,67.4
Hinds County,Mississippi,"231,840",869.83,267,66.475
Bolivar County,Mississippi,"30,628",876.661,35,63.8917
Yazoo County,Mississippi,"29,690",922.339,32,66.175
Worth County,Missouri,"2,013",266.629,8,50.4583
Schuyler County,Missouri,"4,660",307.305,15,50.575
Cole County,Missouri,"76,745",391.548,196,55.9417
Clay County,Missouri,"249,948",397.665,629,53.5333
Hickory County,Missouri,"9,544",398.808,24,55.9333
Buchanan County,Missouri,"87,364",408.244,214,52.5833
Mississippi County,Missouri,"13,180",411.583,32,58.8667
Moniteau County,Missouri,"16,132",415.028,39,55.1083
Clinton County,Missouri,"20,387",418.957,49,52.1333
Platte County,Missouri,"104,418",419.786,249,53.65
Scott County,Missouri,"38,280",419.991,91,58.4917
DeKalb County,Missouri,"12,547",421.358,30,51.2583
Caldwell County,Missouri,"9,020",426.392,21,52.2167
Warren County,Missouri,"35,649",428.607,83,54.9583
Andrew County,Missouri,"17,712",432.631,41,51.6833
Grundy County,Missouri,"9,850",435.292,23,51.425
Scotland County,Missouri,"4,902",436.507,11,50.5917
Marion County,Missouri,"28,530",436.922,65,52.4833
Mercer County,Missouri,"3,617",453.835,8,50.15
Holt County,Missouri,"4,403",462.693,10,51.95
Howard County,Missouri,"10,001",463.8,22,54.2833
Stone County,Missouri,"31,952",463.881,69,57.1167
Ralls County,Missouri,"10,309",469.787,22,52.95
Perry County,Missouri,"19,136",474.355,40,56.325
Cedar County,Missouri,"14,349",474.47,30,56.475
Randolph County,Missouri,"24,748",482.712,51,53.7917
Dade County,Missouri,"7,561",490.01,15,56.5667
Gentry County,Missouri,"6,571",491.422,13,51
Pemiscot County,Missouri,"15,805",492.616,32,60.4583
Madison County,Missouri,"12,088",494.388,24,55.525
Shelby County,Missouri,"5,930",500.863,12,51.925
Knox County,Missouri,"3,959",504.009,8,51.1833
Clark County,Missouri,"6,797",504.606,13,51.0833
Lewis County,Missouri,"9,776",505.042,19,51.7583
Carter County,Missouri,"5,982",507.359,12,57.2417
Putnam County,Missouri,"4,696",517.317,9,50.0333
Gasconade County,Missouri,"14,706",519.005,28,55.1333
Maries County,Missouri,"8,697",526.978,17,56.175
Livingston County,Missouri,"15,227",532.303,29,52.2167
Montgomery County,Missouri,"11,551",535.047,22,54.3167
McDonald County,Missouri,"22,837",539.48,42,58.35
Dallas County,Missouri,"16,878",540.951,31,55.75
Dunklin County,Missouri,"29,131",541.098,54,60.1583
Pulaski County,Missouri,"52,607",547.112,96,57.2917
Atchison County,Missouri,"5,143",547.285,9,51.05
Iron County,Missouri,"10,125",550.264,18,54.9
Christian County,Missouri,"88,595",562.648,157,56.375
Daviess County,Missouri,"8,278",563.282,15,51.45
Cooper County,Missouri,"17,709",564.753,31,54.4083
Adair County,Missouri,"25,343",567.324,45,51.2417
Ray County,Missouri,"23,018",568.809,40,53.1583
